run,K,alpha_word,alpha_ent,evaluation_result
16,20,0.4,0.30,53.2694
16,20,0.4,0.40,62.4870
16,20,0.5,0.30,54.6433
16,20,0.5,0.40,65.8620
16,50,0.2,0.30,51.5243
16,50,0.2,0.40,48.3440
16,50,0.3,0.30,53.8640
16,50,0.3,0.40,52.0030
16,50,0.4,0.30,47.5969
16,50,0.4,0.40,52.3410
16,50,0.5,0.30,51.2416
16,50,0.5,0.40,58.0090
16,100,0.2,0.30,50.6266
16,100,0.2,0.40,58.0440
16,100,0.3,0.30,49.3550
16,100,0.3,0.40,42.7940
16,100,0.4,0.30,54.2947
16,100,0.4,0.40,58.6010
16,100,0.5,0.30,53.9767
16,100,0.5,0.40,45.2510
16,200,0.2,0.30,51.4400
16,200,0.2,0.40,49.2310
16,200,0.3,0.30,50.2946
16,200,0.3,0.40,51.4360
16,200,0.4,0.30,54.4126
16,200,0.4,0.40,60.3300
16,200,0.5,0.30,51.5838
16,200,0.5,0.40,59.1910
17,20,0.2,0.30,52.1581
17,20,0.2,0.40,45.6520
17,20,0.3,0.30,52.5647
17,20,0.3,0.40,58.0760
17,20,0.4,0.30,53.2694
17,20,0.4,0.40,45.1220
17,20,0.5,0.30,54.6433
17,20,0.5,0.40,49.4030
17,50,0.2,0.30,47.9810
17,50,0.2,0.40,50.8100
17,50,0.3,0.30,51.3784
17,50,0.3,0.40,60.5230
17,50,0.4,0.30,48.9326
17,50,0.4,0.40,45.8240
17,50,0.5,0.30,51.8696
17,50,0.5,0.40,45.4260
17,100,0.2,0.30,42.0309
17,100,0.2,0.40,55.9130
17,100,0.3,0.30,46.2799
17,100,0.3,0.40,61.6510
17,100,0.4,0.30,56.7072
17,100,0.4,0.40,45.2180
17,100,0.5,0.30,51.5543
17,100,0.5,0.40,49.3720
17,200,0.2,0.30,47.9994
17,200,0.2,0.40,50.5540
17,200,0.3,0.30,51.4646
17,200,0.3,0.40,43.2230
17,200,0.4,0.30,52.0282
17,200,0.4,0.40,41.4200
17,200,0.5,0.30,54.0783
17,200,0.5,0.40,36.0540
18,20,0.2,0.30,52.1581
18,20,0.2,0.40,58.2060
18,20,0.3,0.30,52.5647
18,20,0.3,0.40,55.6380
18,20,0.4,0.30,53.2694
18,20,0.4,0.40,47.6650
18,20,0.5,0.30,54.6433
18,20,0.5,0.40,48.8580
18,50,0.2,0.30,49.6883
18,50,0.2,0.40,56.6440
18,50,0.3,0.30,51.1718
18,50,0.3,0.40,54.2450
18,50,0.4,0.30,51.2930
18,50,0.4,0.40,53.7290
18,50,0.5,0.30,46.8536
18,50,0.5,0.40,50.8620
18,100,0.2,0.30,52.7897
18,100,0.2,0.40,55.4080
18,100,0.3,0.30,49.6319
18,100,0.3,0.40,49.7970
18,100,0.4,0.30,51.5575
18,100,0.4,0.40,46.8170
