run,K,alpha_word,alpha_ent,evaluation_result
12,50,0.3,0.40,57.228
12,50,0.4,0.30,45.149899999999995
12,50,0.4,0.40,57.228
12,50,0.5,0.30,46.2488
12,50,0.5,0.40,57.228
12,100,0.2,0.30,41.9402
12,100,0.2,0.40,57.228
12,100,0.3,0.30,41.9402
12,100,0.3,0.40,57.228
12,100,0.4,0.30,42.2714
12,100,0.4,0.40,57.228
12,100,0.5,0.30,47.717099999999995
12,100,0.5,0.40,57.228
12,200,0.2,0.30,50.6575
12,200,0.2,0.40,57.228
12,200,0.3,0.30,50.434200000000004
12,200,0.3,0.40,57.228
12,200,0.4,0.30,51.7744
12,200,0.4,0.40,57.228
12,200,0.5,0.30,49.12029999999999
12,200,0.5,0.40,57.228
13,20,0.2,0.30,52.564699999999995
13,20,0.2,0.40,57.228
13,20,0.3,0.30,52.564699999999995
13,20,0.3,0.40,57.228
13,20,0.4,0.30,53.2694
13,20,0.4,0.40,57.228
13,20,0.5,0.30,54.6433
13,20,0.5,0.40,57.228
13,50,0.2,0.30,47.664899999999996
13,50,0.2,0.40,57.228
13,50,0.3,0.30,48.4593
13,50,0.3,0.40,57.228
13,50,0.4,0.30,45.149899999999995
13,50,0.4,0.40,57.228
13,50,0.5,0.30,46.2488
13,50,0.5,0.40,57.228
13,100,0.2,0.30,41.9402
13,100,0.2,0.40,57.228
13,100,0.3,0.30,41.9402
13,100,0.3,0.40,57.228
13,100,0.4,0.30,42.2714
13,100,0.4,0.40,57.228
13,100,0.5,0.30,47.717099999999995
13,100,0.5,0.40,57.228
13,200,0.2,0.30,50.6575
13,200,0.2,0.40,57.228
13,200,0.3,0.30,50.434200000000004
13,200,0.3,0.40,57.228
13,200,0.4,0.30,51.7744
13,200,0.4,0.40,57.228
13,200,0.5,0.30,49.12029999999999
13,200,0.5,0.40,57.228
14,20,0.2,0.30,52.564699999999995
14,20,0.2,0.40,57.228
14,20,0.3,0.30,52.564699999999995
14,20,0.3,0.40,57.228
14,20,0.4,0.30,53.2694
14,20,0.4,0.40,57.228
14,20,0.5,0.30,54.6433
14,20,0.5,0.40,57.228
14,50,0.2,0.30,47.664899999999996
14,50,0.2,0.40,57.228
14,50,0.3,0.30,48.4593
14,50,0.3,0.40,57.228
14,50,0.4,0.30,45.149899999999995
14,50,0.4,0.40,57.228
14,50,0.5,0.30,46.2488
